Closed,Name,City,Market
4/1/2021,Philadelphia Mills,Philadelphia,Pennsylvania\Philadelphia
3/28/2021,Meadows Road,Lake Oswego,Oregon\Portland
3/26/2021,Third Ward - 326 North Water,Milwaukee,Wisconsin\Milwaukee
3/26/2021,35 East Wacker Drive,Chicago,Illinois\Chicago
3/21/2021,Plaza Venezia,Orlando,Florida\Orlando
3/21/2021,Hotel Nikko,San Francisco,California\SanFrancisco
3/20/2021,Southlake Blvd and White Chapel,Southlake,Texas\DallasFortWorth
3/17/2021,800 State Street,Santa Barbara,California\SantaBarbara
3/15/2021,NW Hwy & Midway,Dallas,Texas\DallasFortWorth
3/14/2021,Hollywood & Orange -Madame Tussauds,Los Angeles,California\LosAngeles
3/14/2021,Mass Avenue at Havland,Boston,Massachusetts\Boston
3/7/2021,Beachwood Place Mall,Beachwood,Ohio\Cleveland
3/1/2021,Ardsley,Ardsley,NewYork\WestchesterCounty
3/1/2021,24th & 7th,New York,NewYork\NewYorkCity
3/1/2021,10 Waverly Place,New York,NewYork\NewYorkCity
3/1/2021,303 Congress Street,Boston,Massachusetts\Boston
2/28/2021,4th & D Santa Rosa,Santa Rosa,California\SonomaCounty
2/28/2021,Capital Mall,Olympia,Washington\Olympia
2/28/2021,McVey,Lake Oswego,Oregon\Portland
2/28/2021,Spectrum,Reston,Virginia\NorthernVirginia
2/28/2021,39th & 8th,New York,NewYork\NewYorkCity
2/28/2021,Fair Oaks Mall,Fairfax,Virginia\NorthernVirginia
2/26/2021,Hudson & 10th,New York,NewYork\NewYorkCity
2/24/2021,Tanger Outlets Deer Park,Deer Park,NewYork\LongIsland
2/16/2021,Wallingford,Seattle,Washington\Seattle
2/16/2021,Rancho San Diego,El Cajon,California\SanDiego
2/14/2021,Port Charlotte Town Center,Port Charlotte,Florida\Naples
2/14/2021,Southcenter (B&N),Tukwila,Washington\Seattle
2/14/2021,Macy`s - Cherry Hill Mall,Cherry Hill,NewJersey
2/14/2021,Edison Mall - First Level,Fort Myers,Florida\Naples
2/8/2021,Olive & 6th,St. Louis,Missouri\StLouis
2/5/2021,Amador Valley & Village Pkwy,Dublin,California\AlamedaCounty
2/4/2021,Perimeter Point Shopping Center,Atlanta,Georgia\Atlanta
2/1/2021,Charles Street,Boston,Massachusetts\Boston
2/1/2021,Tower City Center,Cleveland,Ohio\Cleveland
2/1/2021,Texas & Jefferson - Fairfield,Fairfield,California\SolanoCounty
2/1/2021,Shops at Montebello-Center Ct,Montebello,California\SoutheastLosAngeles
2/1/2021,45th & Park,New York,NewYork\NewYorkCity
2/1/2021,AmericasMart,Atlanta,Georgia\Atlanta
2/1/2021,Chandler Fashion Sq-Valet Entrance,Chandler,Arizona\Phoenix
2/1/2021,San Marin & San Ramon,Novato,California\MarinCounty
2/1/2021,Colorado Blvd. (B&N),Glendale,Colorado\Denver
2/1/2021,Santa Monica Place Mall - East Wing,Santa Monica,California\WestLosAngeles
2/1/2021,Oak Park Mall,Overland Park,Kansas\KansasCityKansas
2/1/2021,Bryant Irvin & Overton,Fort Worth,Texas\DallasFortWorth
2/1/2021,Huntington Mall Level 1,Barboursville,WestVirginia
2/1/2021,International Place,Arlington,Virginia\NorthernVirginia
2/1/2021,22nd & K Street,Washington,WashingtonDC\WashingtonDC
2/1/2021,Belden Village Mall Center Court,Canton,Ohio\Akron
2/1/2021,West County Center - Floor 1 South,Des Peres,Missouri\StLouis
2/1/2021,The Outlets Shoppes at Atlanta,Woodstock,Georgia\Atlanta
2/1/2021,Central Ave & US 41,Naples,Florida\Naples
2/1/2021,47 W. Flagler St,Miami,Florida\Miami
2/1/2021,650 S. 3rd Street,Columbus,Ohio\Columbus
2/1/2021,Bella Terra Mall (Barnes & Noble),Huntington Beach,California\OrangeCounty
2/1/2021,Coal Creek Village,Newcastle,Washington\Seattle
2/1/2021,Sunset & 58th Ave.,Miami,Florida\Miami
2/1/2021,1960 & Stuebner,Houston,Texas\Houston
2/1/2021,Gig Harbor,Gig Harbor,Washington\Tacoma
2/1/2021,Roswell Rd & Lake Placid,Sandy Springs,Georgia\Atlanta
2/1/2021,Willow Lake West,Indianapolis,Indiana\Indianapolis
2/1/2021,S Kirkman rd & Vineland Rd,Orlando,Florida\Orlando
2/1/2021,"Penn Station by 1,2,3",New York,NewYork\NewYorkCity
2/1/2021,Eastwood Mall,Niles,Ohio\Youngstown
2/1/2021,Asheville Mall,Asheville,NorthCarolina\Asheville
2/1/2021,Coastal Grand Mall,Myrtle Beach,SouthCarolina\MyrtleBeach
1/31/2021,434 & Orange,Altamonte Springs,Florida\Orlando
1/31/2021,Granville & 11th,Vancouver,BritishColumbia\Vancouver
1/31/2021,Clearview,Red Deer,Alberta\RedDeer
1/31/2021,Premium Outlet Collection at EIA,Edmonton,Alberta\Edmonton
1/31/2021,White Oaks Mall - Food Court,London,Ontario\LondonON
1/31/2021,529 West Hunt Club Road,Nepean,Ontario\Ottawa
1/31/2021,Galeries de Hull,Gatineau,Quebec\Gatineau
1/31/2021,65 Queen Street,Charlottetown,PrinceEdwardIsland
1/31/2021,666 Burnhamthorpe Rd,Etobicoke,Ontario\GreaterTorontoArea
1/31/2021,3300 Bloor Street West,Toronto,Ontario\Toronto
1/31/2021,Rideau Ctr. Dining Hall,Ottawa,Ontario\Ottawa
1/31/2021,Danforth & Broadview,Toronto,Ontario\Toronto
1/31/2021,Grande Prairie Mall,Grande Prairie,Alberta\GrandePrairie
1/31/2021,South 40,Grande Prarie,Alberta\GrandePrairie
1/31/2021,Discovery Harbour,Campbell River,BritishColumbia\VancouverIsland
1/31/2021,Westshore Town Centre,Victoria,BritishColumbia\VancouverIsland
1/31/2021,Victoria Bay Centre,Victoria,BritishColumbia\VancouverIsland
1/31/2021,Park Royal SC North,West Vancouver,BritishColumbia\Vancouver
1/31/2021,Burrard & Smithe,Vancouver,BritishColumbia\Vancouver
1/31/2021,Robson & Homer,Vancouver,BritishColumbia\Vancouver
1/31/2021,Burrard Building,Vancouver,BritishColumbia\Vancouver
1/31/2021,Royal Centre,Vancouver,BritishColumbia\Vancouver
1/31/2021,Seymour and Dunsmuir,Vancouver,BritishColumbia\Vancouver
1/31/2021,Capilano Mall,North Vancouver,BritishColumbia\Vancouver
1/31/2021,Lonsdale Promenade,North Vancouver,BritishColumbia\Vancouver
1/31/2021,Boheme - Hastings & McLean Dr,Vancouver,BritishColumbia\Vancouver
1/31/2021,Broadway & Commercial,Vancouver,BritishColumbia\Vancouver
1/31/2021,Metropolis Skytrain,Burnaby,BritishColumbia\Vancouver
1/31/2021,Brentwood Mall Level 2,Burnaby,BritishColumbia\Vancouver
1/31/2021,Arbutus & Valley,Vancouver,BritishColumbia\Vancouver
1/31/2021,Century - Fraser St & 29th,Vancouver,BritishColumbia\Vancouver
1/31/2021,Central at Garden City,Richmond,BritishColumbia\Vancouver
1/31/2021,Marpole,Vancouver,BritishColumbia\Vancouver
1/31/2021,City Square Mall,Vancouver,BritishColumbia\Vancouver
1/31/2021,Big Bend Crossing,Burnaby,BritishColumbia\Vancouver
1/31/2021,The Brewery District-New West,New Westminster,BritishColumbia\Vancouver
1/31/2021,6th & Columbia,New Westminster,BritishColumbia\Vancouver
1/31/2021,Shops at NewWest,New Westminster,BritishColumbia\Vancouver
1/31/2021,Guildford Town Centre Level 1,Surrey,BritishColumbia\Vancouver
1/31/2021,High Street - Abbotsford,Abbotsford,BritishColumbia\Vancouver
1/31/2021,Mission Junction Shopping Center,Mission,BritishColumbia\Vancouver
1/31/2021,Cherry Lane - Penticton,Penticton,BritishColumbia\EasternBritishColumbia
1/31/2021,Bernard & Pandosy,Kelowna,BritishColumbia\EasternBritishColumbia
1/31/2021,17 Avenue SW,Calgary,Alberta\Calgary
1/31/2021,Market Mall SC West,Calgary,Alberta\Calgary
1/31/2021,Northland Plaza,Calgary,Alberta\Calgary
1/31/2021,Cross Iron Mills Food Hall,Calgary,Alberta\Calgary
1/31/2021,Sunridge Mall - Level 1,Calgary,Alberta\Calgary
1/31/2021,Londonderry Mall,Edmonton,Alberta\Edmonton
1/31/2021,Edmonton City Centre,Edmonton,Alberta\Edmonton
1/31/2021,2nd Ave & 22nd Street,Saskatoon,Saskatchewan
1/31/2021,Lawson Heights,Saskatoon,Saskatchewan
1/31/2021,Shops at Winnipeg Square,Winnipeg,Manitoba
1/31/2021,252 Main Street East,Milton,Ontario\GreaterTorontoArea
1/31/2021,Fairview Park Mall,Kitchener,Ontario\GreaterTorontoArea
1/31/2021,4585 Highway 7,Woodbridge,Ontario\GreaterTorontoArea
1/31/2021,6795 Airport Road,Mississauga,Ontario\PeelRegion
1/31/2021,Queen & Main,Brampton,Ontario\PeelRegion
1/31/2021,5495 Eglinton Avenue West,Toronto,Ontario\Toronto
1/31/2021,The Queensway & Hwy 427,Etobicoke,Ontario\GreaterTorontoArea
1/31/2021,145 Richmond St.W-Hilton Hotel,Toronto,Ontario\Toronto
1/31/2021,Overlea Plaza,Toronto,Ontario\Toronto
1/31/2021,8750 Bayview Ave,Richmond Hill,Ontario\GreaterTorontoArea
1/31/2021,11710 Yonge St,Richmond Hill,Ontario\GreaterTorontoArea
1/31/2021,35 First Commerce Dr,Aurora,Ontario\GreaterTorontoArea
1/31/2021,Georgian Mall - Barrie,Barrie,Ontario\GreaterTorontoArea
1/31/2021,259 Bank Street,Ottawa,Ontario\Ottawa
1/31/2021,Place du Centre,Gatineau,Quebec\Gatineau
1/31/2021,Mail Champlain,Brossard,Quebec\Montreal
1/31/2021,Monkland & Old Orchard,Montreal,Quebec\Montreal
1/31/2021,St-Lambert & Victoria,Montreal,Quebec\Montreal
1/31/2021,Park & Laurier,Montreal,Quebec\Montreal
1/31/2021,Place Alexis-Nihon,Montreal,Quebec\Montreal
1/31/2021,Ste-Catherine & Lambert-Closse,Montreal,Quebec\Montreal
1/31/2021,Peel & Wellington,Montreal,Quebec\Montreal
1/31/2021,Notre Dame & St-Laurent,Montreal,Quebec\Montreal
1/31/2021,Crescent & Ste-Catherine,Montreal,Quebec\Montreal
1/31/2021,100 St Antoine Ouest,Montreal,Quebec\Montreal
1/31/2021,De La Montagne & De Maisonneuve,Montreal,Quebec\Montreal
1/31/2021,Peel & Ste-Catherine,Montreal,Quebec\Montreal
1/31/2021,University & De Maisonneuve,Montreal,Quebec\Montreal
1/31/2021,Eaton Center - McGill Station,Montreal,Quebec\Montreal
1/31/2021,Central Station,Montreal,Quebec\Montreal
1/31/2021,University & De La Gauchetiere,Montreal,Quebec\Montreal
1/31/2021,395 Charest Est,Quebec,Quebec\QuebecCity
1/31/2021,Cartier & Rene-Levesque,Quebec,Quebec\QuebecCity
1/31/2021,6112 Quinpool Road,Halifax,NovaScotia
1/31/2021,"1646 Barrington Street, Suite 800",Halifax,NovaScotia
1/31/2021,Scotia Square - Level 1,Halifax,NovaScotia
1/31/2021,Halifax Professional Centre-Level 1,Halifax,NovaScotia
1/31/2021,Square One - Food Court,Mississauga,Ontario\PeelRegion
1/31/2021,6020 Hurontario St,Mississauga,Ontario\PeelRegion
1/31/2021,242 Queen St S,Mississauga,Ontario\PeelRegion
1/31/2021,1011 Upper Middle Rd E,Oakville,Ontario\GreaterTorontoArea
1/31/2021,369 - 377 Highway 8,Stoney Creek,Ontario\HamiltonRegion
1/31/2021,5846 Drummond Road,Niagara Falls,Ontario\NiagaraRegion
1/31/2021,Broadway & Heather,Vancouver,BritishColumbia\Vancouver
1/31/2021,Granville & 2nd,Vancouver,BritishColumbia\Vancouver
1/31/2021,Main Street & Terminal Ave,Vancouver,BritishColumbia\Vancouver
1/31/2021,Beatty,Vancouver,BritishColumbia\Vancouver
1/31/2021,Brava - Davie & Seymour,Vancouver,BritishColumbia\Vancouver
1/31/2021,Shaw Tower,Vancouver,BritishColumbia\Vancouver
1/31/2021,Hornby,Vancouver,BritishColumbia\Vancouver
1/31/2021,Inglewood - 11th ST SE and 9th Ave,Calgary,Alberta\Calgary
1/31/2021,PNC Tower,Louisville,Kentucky\Louisville
1/31/2021,544 Academy Rd,Winnipeg,Manitoba
1/31/2021,2401 City Park Drive,Gloucester,Ontario\Ottawa
1/31/2021,191 King Street West,Kitchener,Ontario\GreaterTorontoArea
1/31/2021,York Mills Centre,Toronto,Ontario\Toronto
1/31/2021,York & Bremner,Toronto,Ontario\Toronto
1/31/2021,Yonge & Queens Quay,Toronto,Ontario\Toronto
1/31/2021,8 Wellesley,Toronto,Ontario\Toronto
1/31/2021,University and Wellington,Toronto,Ontario\Toronto
1/31/2021,Wellington & John,Toronto,Ontario\Toronto
1/31/2021,Bathurst & St. Clair,Toronto,Ontario\Toronto
1/31/2021,132 Queens Quay East,Toronto,Ontario\Toronto
1/31/2021,Ossington & Queen,Toronto,Ontario\Toronto
1/31/2021,Promenade Mall,Vaughan,Ontario\GreaterTorontoArea
1/31/2021,King & Sherbourne,Toronto,Ontario\Toronto
1/31/2021,King & Peter,Toronto,Ontario\Toronto
1/31/2021,Hillcrest Mall,Toronto,Ontario\Toronto
1/31/2021,81 Front St E at Jarvis,Toronto,Ontario\Toronto
1/31/2021,Dufferin Mall,Toronto,Ontario\Toronto
1/31/2021,1909 Yonge St.,Toronto,Ontario\Toronto
1/31/2021,Church & Gerrard,Toronto,Ontario\Toronto
1/31/2021,1090 Bloor St West,Toronto,Ontario\Toronto
1/31/2021,494 Bloor Street West,Toronto,Ontario\Toronto
1/31/2021,Bay & Grosvenor,Toronto,Ontario\Toronto
1/31/2021,686 Bay Street,Toronto,Ontario\Toronto
1/31/2021,Bathurst & Fleet,Toronto,Ontario\Toronto
1/31/2021,Mt. Pleasant Reserve Bar,Vancouver,BritishColumbia\Vancouver
1/31/2021,Shaughnessy Street,Port Coquitlam,BritishColumbia\Vancouver
1/31/2021,No.1 & Westminster /TerraNova,Richmond,BritishColumbia\Vancouver
1/31/2021,"62 York Street, Ottawa (Byward M.)",Ottawa,Ontario\Ottawa
1/30/2021,Yonge & College,Toronto,Ontario\Toronto
1/30/2021,Richmond Adelaide Ctr -PATH Concrse,Toronto,Ontario\Toronto
1/30/2021,Royal Bank Plaza - PATH Concourse,Toronto,Ontario\Toronto
1/29/2021,Devon Tower,Calgary,Alberta\Calgary
1/29/2021,Suncor Plus +15,Calgary,Alberta\Calgary
1/29/2021,Suncor main floor,Calgary,Alberta\Calgary
1/29/2021,Calgary House,Calgary,Alberta\Calgary
1/29/2021,Bankers Hall Plus +15,Calgary,Alberta\Calgary
1/29/2021,Wellington & Simcoe - RBC,Toronto,Ontario\Toronto
1/29/2021,Scotia Plaza,Toronto,Ontario\Toronto
1/29/2021,First Canadian Place,Toronto,Ontario\Toronto
1/29/2021,West Hastings & Howe St,Vancouver,BritishColumbia\Vancouver
1/28/2021,Oregon Way & Industrial- Longview,Longview,Washington\SouthwesternWashington
1/23/2021,Galleria at Roseville Promenade,Roseville,California\Sacramento
1/21/2021,Park Central Mall - Phoenix,Phoenix,Arizona\Phoenix
1/4/2021,Palatine Metra Station,Palatine,Illinois\Chicagoland
1/1/2021,43rd & 8th,New York,NewYork\NewYorkCity
1/1/2021,57th Btwn Eighth & Ninth,New York,NewYork\NewYorkCity
1/1/2021,Promenade Temecula,Temecula,California\RiversideCounty
1/1/2021,Manhattan Mall 1st Floor,New York,NewYork\NewYorkCity
1/1/2021,MacArthur Center,Norfolk,Virginia\ChesapeakeBayRegion
1/1/2021,Asheville Outlets,Asheville,NorthCarolina\Asheville
